We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
All Submitters of data may be contacted directly via www.gisaid.org
Authors are sorted alphabetically.
Accession ID,Originating Laboratory,Submitting Laboratory,Authors
EPI_ISL_468314,CTA Centro de Testagem e Aconselhamento,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_468316,UPA Vila Assis,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_468318,Hospital Universitario da USP,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_468321,Hospital Universitario da USP,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_470600,Hermes Pardini,Bioinformatics Laboratory / LNCC,"Alexandra Gerber, Ana Paula Guimarães, Luiz Gonzaga Paula de Almeida, Ronaldo da Silva Francisco Junior, Mariane Talon, Filipe Romero, Átila Duque Rossi, Terezinha Marta Pereira, working group UFRJ, Jaqueline Goes de Jesus, Ingra Morales Claro, Ester Cerdeira Sabino, Nuno Rodrigues Faria, CADDE-group, Laboratorio Hermes Pardini, Laboratorio Simile, working group UFMG, Amilcar Tanuri, Carolina Voloch, Renato Santana Aguiar e Ana Tereza Vasconcelos"
EPI_ISL_470602,Hermes Pardini,Bioinformatics Laboratory / LNCC,"Alexandra Gerber, Ana Paula Guimarães, Luiz Gonzaga Paula de Almeida, Ronaldo da Silva Francisco Junior, Mariane Talon, Filipe Romero, Átila Duque Rossi, Terezinha Marta Pereira, working group UFRJ, Jaqueline Goes de Jesus, Ingra Morales Claro, Ester Cerdeira Sabino, Nuno Rodrigues Faria, CADDE-group, Laboratorio Hermes Pardini, Laboratorio Simile, working group UFMG, Amilcar Tanuri, Carolina Voloch, Renato Santana Aguiar e Ana Tereza Vasconcelos"
EPI_ISL_470604,Hermes Pardini,Bioinformatics Laboratory / LNCC,"Alexandra Gerber, Ana Paula Guimarães, Luiz Gonzaga Paula de Almeida, Ronaldo da Silva Francisco Junior, Mariane Talon, Filipe Romero, Átila Duque Rossi, Terezinha Marta Pereira, working group UFRJ, Jaqueline Goes de Jesus, Ingra Morales Claro, Ester Cerdeira Sabino, Nuno Rodrigues Faria, CADDE-group, Laboratorio Hermes Pardini, Laboratorio Simile, working group UFMG, Amilcar Tanuri, Carolina Voloch, Renato Santana Aguiar e Ana Tereza Vasconcelos"
EPI_ISL_470605,Hermes Pardini,Bioinformatics Laboratory / LNCC,"Alexandra Gerber, Ana Paula Guimarães, Luiz Gonzaga Paula de Almeida, Ronaldo da Silva Francisco Junior, Mariane Talon, Filipe Romero, Átila Duque Rossi, Terezinha Marta Pereira, working group UFRJ, Jaqueline Goes de Jesus, Ingra Morales Claro, Ester Cerdeira Sabino, Nuno Rodrigues Faria, CADDE-group, Laboratorio Hermes Pardini, Laboratorio Simile, working group UFMG, Amilcar Tanuri, Carolina Voloch, Renato Santana Aguiar e Ana Tereza Vasconcelos"
EPI_ISL_470607,Hermes Pardini,Bioinformatics Laboratory / LNCC,"Alexandra Gerber, Ana Paula Guimarães, Luiz Gonzaga Paula de Almeida, Ronaldo da Silva Francisco Junior, Mariane Talon, Filipe Romero, Átila Duque Rossi, Terezinha Marta Pereira, working group UFRJ, Jaqueline Goes de Jesus, Ingra Morales Claro, Ester Cerdeira Sabino, Nuno Rodrigues Faria, CADDE-group, Laboratorio Hermes Pardini, Laboratorio Simile, working group UFMG, Amilcar Tanuri, Carolina Voloch, Renato Santana Aguiar e Ana Tereza Vasconcelos"
EPI_ISL_470608,Hermes Pardini,Bioinformatics Laboratory / LNCC,"Alexandra Gerber, Ana Paula Guimarães, Luiz Gonzaga Paula de Almeida, Ronaldo da Silva Francisco Junior, Mariane Talon, Filipe Romero, Átila Duque Rossi, Terezinha Marta Pereira, working group UFRJ, Jaqueline Goes de Jesus, Ingra Morales Claro, Ester Cerdeira Sabino, Nuno Rodrigues Faria, CADDE-group, Laboratorio Hermes Pardini, Laboratorio Simile, working group UFMG, Amilcar Tanuri, Carolina Voloch, Renato Santana Aguiar e Ana Tereza Vasconcelos"
EPI_ISL_470610,Hermes Pardini,Bioinformatics Laboratory / LNCC,"Alexandra Gerber, Ana Paula Guimarães, Luiz Gonzaga Paula de Almeida, Ronaldo da Silva Francisco Junior, Mariane Talon, Filipe Romero, Átila Duque Rossi, Terezinha Marta Pereira, working group UFRJ, Jaqueline Goes de Jesus, Ingra Morales Claro, Ester Cerdeira Sabino, Nuno Rodrigues Faria, CADDE-group, Laboratorio Hermes Pardini, Laboratorio Simile, working group UFMG, Amilcar Tanuri, Carolina Voloch, Renato Santana Aguiar e Ana Tereza Vasconcelos"
EPI_ISL_470612,Hermes Pardini,Bioinformatics Laboratory / LNCC,"Alexandra Gerber, Ana Paula Guimarães, Luiz Gonzaga Paula de Almeida, Ronaldo da Silva Francisco Junior, Mariane Talon, Filipe Romero, Átila Duque Rossi, Terezinha Marta Pereira, working group UFRJ, Jaqueline Goes de Jesus, Ingra Morales Claro, Ester Cerdeira Sabino, Nuno Rodrigues Faria, CADDE-group, Laboratorio Hermes Pardini, Laboratorio Simile, working group UFMG, Amilcar Tanuri, Carolina Voloch, Renato Santana Aguiar e Ana Tereza Vasconcelos"
EPI_ISL_470638,Laboratorio de Virologia Molecular / UFRJ,Bioinformatics Laboratory / LNCC,"Alexandra Gerber, Ana Paula Guimarães, Luiz Gonzaga Paula de Almeida, Ronaldo da Silva Francisco Junior, Mariane Talon, Filipe Romero, Átila Duque Rossi, Terezinha Marta Pereira, working group UFRJ, Jaqueline Goes de Jesus, Ingra Morales Claro, Ester Cerdeira Sabino, Nuno Rodrigues Faria, CADDE-group, Laboratorio Hermes Pardini, Laboratorio Simile, working group UFMG, Amilcar Tanuri, Carolina Voloch, Renato Santana Aguiar e Ana Tereza Vasconcelos"
EPI_ISL_470651,Hermes Pardini,Bioinformatics Laboratory / LNCC,"Alexandra Gerber, Ana Paula Guimarães, Luiz Gonzaga Paula de Almeida, Ronaldo da Silva Francisco Junior, Mariane Talon, Filipe Romero, Átila Duque Rossi, Terezinha Marta Pereira, working group UFRJ, Jaqueline Goes de Jesus, Ingra Morales Claro, Ester Cerdeira Sabino, Nuno Rodrigues Faria, CADDE-group, Laboratorio Hermes Pardini, Laboratorio Simile, working group UFMG, Amilcar Tanuri, Carolina Voloch, Renato Santana Aguiar e Ana Tereza Vasconcelos"
EPI_ISL_470653,Hermes Pardini,Bioinformatics Laboratory / LNCC,"Alexandra Gerber, Ana Paula Guimarães, Luiz Gonzaga Paula de Almeida, Ronaldo da Silva Francisco Junior, Mariane Talon, Filipe Romero, Átila Duque Rossi, Terezinha Marta Pereira, working group UFRJ, Jaqueline Goes de Jesus, Ingra Morales Claro, Ester Cerdeira Sabino, Nuno Rodrigues Faria, CADDE-group, Laboratorio Hermes Pardini, Laboratorio Simile, working group UFMG, Amilcar Tanuri, Carolina Voloch, Renato Santana Aguiar e Ana Tereza Vasconcelos"
EPI_ISL_470654,Hermes Pardini,Bioinformatics Laboratory / LNCC,"Alexandra Gerber, Ana Paula Guimarães, Luiz Gonzaga Paula de Almeida, Ronaldo da Silva Francisco Junior, Mariane Talon, Filipe Romero, Átila Duque Rossi, Terezinha Marta Pereira, working group UFRJ, Jaqueline Goes de Jesus, Ingra Morales Claro, Ester Cerdeira Sabino, Nuno Rodrigues Faria, CADDE-group, Laboratorio Hermes Pardini, Laboratorio Simile, working group UFMG, Amilcar Tanuri, Carolina Voloch, Renato Santana Aguiar e Ana Tereza Vasconcelos"
EPI_ISL_471541,Hospital Geral Santa Marcelina,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_471542,Secretaria de Saude de Mogi das Cruzes,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_471545,Hospital Sao Paulo de Ensino da Unifesp,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_471546,AMA DR Jose Soares Hungria,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_471549,Hospital Municipal Carmen Prudente,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_471552,Hospital Sancta Maggiore,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_471556,Pronto Socorro Jose Ibrahin,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_471562,Hosp. Municipal Prof. Dr. Alípio Corrêa Netto,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_471582,Hosp. Municipal Prof. Dr. Alípio Corrêa Netto,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_471647,Hospital Municipal de Barueri Dr. Francisco Moran,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_471648,UBS e Pronto Socorro Jd. Jacira,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515520,Hospital Municipal do Tatuape Carmino Caricchio,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515524,PS Municipal Dr Lauro Ribas Braga,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515526,Hospital Municipal do Tatuape Carmino Caricchio,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515529,Pronto Socorro Municipal Julio Tupy,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515541,Hospital Montemagno,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515544,Ama Dr Jose Soares Hungria,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515547,Centro Medico da Policia Militar do Estado de Sao Paulo,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515548,Hospital Municipal Dr. Jose Soares Hungria,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515551,Hospital Municipal do Tatuape Carmino Caricchio,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515552,Hospital Municipal do Tatuape Carmino Caricchio,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515553,Hospital Municipal Dr. Ignacio Proença de Gouvea,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515554,Pronto Socorro Municipal de Perus,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515555,Hospital Geral de Vila Nova Cachoeirinha,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515559,Hospital Sao Paulo de Ensino da Unifesp,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515561,Hospital Montemagno,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515562,Hospital Municipal Doutor Alexandre Zaio,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515563,Hospital Municipal Dr. Jose Soares Hungria,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515565,Hospital do Servidor Público Estadual Francisco Morato de Oliveira,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_515566,PS Municipal Dr Lauro Ribas Braga,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523955,Hospital Municipal do Tatuape Carmino Caricchio,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523957,Hospital Itamaraty,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523958,Pronto Socorro Municipal de Perus,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523965,Hospital do Servidor Público Estadual Francisco Morato de Oliveira,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523969,Hospital Sao Paulo de Ensino da Unifesp,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523970,Conjunto Hospitalar do Mandaqui,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523971,Hospital Geral Santa Marcelina,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523974,Hospital Municipal do Tatuape Carmino Caricchio,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523975,UPA Tito Lopes,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523977,Hosp. Municipal Prof. Dr. Alípio Corrêa Netto,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523978,Hospital do Servidor Público Estadual Francisco Morato de Oliveira,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523980,UPA Tito Lopes,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523981,Hospital Sao Paulo de Ensino da Unifesp,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523982,Hospital do Servidor Público Estadual Francisco Morato de Oliveira,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523983,UPA Campo Limpo,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523984,Ama Dr Jose Soares Hungria,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523986,Hospital Sao Paulo de Ensino da Unifesp,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523988,AMA Jardim Joamar,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523989,AMA Jardim Peri,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_523990,AMA Jardim Peri,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_524462,Hospital Metropolitano,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_524463,Hospital Regional de Cotia,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_524464,Santa Casa de Santa Isabel,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_524465,PS Municipal Dr. Caetano Virgílio Neto,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_524466,PS Municipal Dr Lauro Ribas Braga,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_524468,Hospital Municipal Vereador Jose Storopolli,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_524469,Santa Casa de Misericordia de Sao Paulo,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_527856,Hospital Municipal Prof. Waldomiro de Paula,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_527857,Hospital Regional Vale do Ribeira,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_527859,Hospital Municipal Vereador Jose Storopolli,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_527860,Hospital Municipal de Parelheiros Josanias Castanha Braga,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_527861,Hospital e Maternidade Celso Pierro,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_527862,Hospital Municipal de Urgência,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_527865,Hospital e Maternidade São Cristóvão,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_527866,PS Municipal Dr Lauro Ribas Braga,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_527868,Hospital e Maternidade do Braz,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_527870,Hospital Municipal Mário Gatti,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_534311,UPA III 26 de Agosto,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_534314,Hospital Universitario da USP de SP,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_534316,OS Mun Santana Lauro Ribas Braga,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_534317,Hospital Geral de Itapevi,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
